tsne_1,tsne_2,comp_name,cnf_name
-11.6666355,11.498757,egnn2s,sat_tseitin_20_130_36501.cnf
-18.064173,-3.327981,g2sat,sat_tseitin_20_130_36501.cnf
-18.782265,-2.820469,w2sat,sat_tseitin_20_130_36501.cnf
3.049037,14.356606,gwae2sat_allo,sat_tseitin_20_130_36501.cnf
3.1279316,14.987297,gwae2sat_auto,sat_tseitin_20_130_36501.cnf
5.5824447,-13.039663,original,sat_tseitin_30_468_86187.cnf
8.839181,8.476441,egnn2s,sat_tseitin_30_468_86187.cnf
6.743551,-11.926931,g2sat,sat_tseitin_30_468_86187.cnf
5.580342,-13.039618,w2sat,sat_tseitin_30_468_86187.cnf
17.662046,-3.6933422,gwae2sat_allo,sat_tseitin_30_468_86187.cnf
17.277115,-3.8190181,gwae2sat_auto,sat_tseitin_30_468_86187.cnf
-8.193178,-14.520311,original,unsat_cliquecoloring_37_230.cnf
-6.2053537,12.585394,egnn2s,unsat_cliquecoloring_37_230.cnf
-8.67905,-14.672521,g2sat,unsat_cliquecoloring_37_230.cnf
-8.188169,-14.522387,w2sat,unsat_cliquecoloring_37_230.cnf
-3.1173048,14.097845,gwae2sat_allo,unsat_cliquecoloring_37_230.cnf
-3.6216812,14.671992,gwae2sat_auto,unsat_cliquecoloring_37_230.cnf
-20.659914,-0.16037019,original,sat_subsetcard_12_72_25143.cnf
-19.000885,0.572616,egnn2s,sat_subsetcard_12_72_25143.cnf
-20.48166,-0.4532105,g2sat,sat_subsetcard_12_72_25143.cnf
-20.65737,-0.16159993,w2sat,sat_subsetcard_12_72_25143.cnf
-10.67604,11.615631,gwae2sat_allo,sat_subsetcard_12_72_25143.cnf
-10.665636,11.368023,gwae2sat_auto,sat_subsetcard_12_72_25143.cnf
2.955152,-13.793939,original,sat_4clique_32_404_34389.cnf
6.619882,9.99209,egnn2s,sat_4clique_32_404_34389.cnf
3.3778787,-13.796464,g2sat,sat_4clique_32_404_34389.cnf
2.9560497,-13.793481,w2sat,sat_4clique_32_404_34389.cnf
-1.4321772,14.526587,gwae2sat_allo,sat_4clique_32_404_34389.cnf
1.7880481,14.710422,gwae2sat_auto,sat_4clique_32_404_34389.cnf
4.2519865,-11.234893,original,unsat_php_96_450_86266.cnf
8.142879,9.095412,egnn2s,unsat_php_96_450_86266.cnf
5.3301835,-10.928676,g2sat,unsat_php_96_450_86266.cnf
4.2502,-11.234932,w2sat,unsat_php_96_450_86266.cnf
4.0688353,13.76351,gwae2sat_allo,unsat_php_96_450_86266.cnf
4.17396,15.271425,gwae2sat_auto,unsat_php_96_450_86266.cnf
4.3081594,-11.172296,original,unsat_php_97_451_21992.cnf
7.9718094,9.189356,egnn2s,unsat_php_97_451_21992.cnf
5.697603,-10.725794,g2sat,unsat_php_97_451_21992.cnf
4.3067007,-11.17272,w2sat,unsat_php_97_451_21992.cnf
4.296849,13.768989,gwae2sat_allo,unsat_php_97_451_21992.cnf
4.8959966,14.69688,gwae2sat_auto,unsat_php_97_451_21992.cnf
-10.520206,-12.85847,original,unsat_4color_40_190_72085.cnf
-9.886788,12.742013,egnn2s,unsat_4color_40_190_72085.cnf
-10.197616,-13.196305,g2sat,unsat_4color_40_190_72085.cnf
-10.5183525,-12.85557,w2sat,unsat_4color_40_190_72085.cnf
-8.726782,12.739653,gwae2sat_allo,unsat_4color_40_190_72085.cnf
-9.702624,12.199569,gwae2sat_auto,unsat_4color_40_190_72085.cnf
-18.710972,-1.9789349,original,sat_op_28_119_84304.cnf
-11.9430275,11.105186,egnn2s,sat_op_28_119_84304.cnf
-18.167046,-2.515878,g2sat,sat_op_28_119_84304.cnf
-18.708237,-1.971564,w2sat,sat_op_28_119_84304.cnf
-6.560296,13.75559,gwae2sat_allo,sat_op_28_119_84304.cnf
-7.720268,13.253178,gwae2sat_auto,sat_op_28_119_84304.cnf
-11.080342,-12.414444,original,unsat_cliquecoloring_36_176.cnf
-9.155256,12.165789,egnn2s,unsat_cliquecoloring_36_176.cnf
-11.0251045,-12.575522,g2sat,unsat_cliquecoloring_36_176.cnf
-11.079138,-12.413201,w2sat,unsat_cliquecoloring_36_176.cnf
-5.8284693,13.870609,gwae2sat_allo,unsat_cliquecoloring_36_176.cnf
-7.018248,13.571651,gwae2sat_auto,unsat_cliquecoloring_36_176.cnf
-21.448355,0.7828661,original,sat_subsetcard_12_36_64659.cnf
-20.85076,0.9463184,egnn2s,sat_subsetcard_12_36_64659.cnf
-21.219784,0.78120494,g2sat,sat_subsetcard_12_36_64659.cnf
-21.48071,0.7552021,w2sat,sat_subsetcard_12_36_64659.cnf
-18.266962,1.43992,gwae2sat_allo,sat_subsetcard_12_36_64659.cnf
-18.138412,1.5186374,gwae2sat_auto,sat_subsetcard_12_36_64659.cnf
8.175096,-10.172765,original,unsat_tseitin_30_568_54824.cnf
9.818245,7.7122397,egnn2s,unsat_tseitin_30_568_54824.cnf
9.013427,-8.867314,g2sat,unsat_tseitin_30_568_54824.cnf
8.176476,-10.172487,w2sat,unsat_tseitin_30_568_54824.cnf
19.256891,-3.9592118,gwae2sat_allo,unsat_tseitin_30_568_54824.cnf
18.481665,-3.928873,gwae2sat_auto,unsat_tseitin_30_568_54824.cnf
9.797748,-7.9923286,original,unsat_cliquecoloring_54_673.cnf
10.267672,7.21575,egnn2s,unsat_cliquecoloring_54_673.cnf
