Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_php_96_450_86266.cnf,"[0.00039351209993583326, 0.00043240619995685845, 0.00633290089995171, 0.0003129509999780566]","[0.00012299519, 6.0023962e-05, 0.00013675872, 3.3671648e-05]","[2.66431e-06, 2.2430102e-06, 1.563757e-05, 2.21465e-06]","[8.9062505e-06, 1.295339e-05, 2.979394e-05, 2.9043538e-05]","[2.5136499e-06, 2.35332e-06, 1.9676989e-05, 2.3062798e-06]","[2.54516e-06, 2.3522903e-06, 1.910173e-05, 2.50423e-06]"
unsat_php_97_451_21992.cnf,"[0.0019319881000228634, 0.0014396825000630997, 0.011911391800003912, 0.0012493340000446552]","[0.00012165938, 6.500393e-05, 0.00014375804, 3.574747e-05]","[2.61872e-06, 2.2672e-06, 1.60292e-05, 2.2763302e-06]","[1.2734e-05, 1.42234785e-05, 3.955078e-05, 2.4878691e-05]","[2.5321901e-06, 2.2983e-06, 1.9570769e-05, 2.3125099e-06]","[2.5676502e-06, 2.30086e-06, 1.957821e-05, 2.3508899e-06]"
unsat_4color_40_190_72085.cnf,"[8.189400002720504e-05, 5.835970000589441e-05, 0.00043645110004035813, 6.290819999321684e-05]","[5.3440097e-05, 3.026162e-05, 7.201805e-05, 1.902063e-05]","[2.4855499e-06, 2.0407601e-06, 1.3746711e-05, 2.07103e-06]","[6.8812797e-06, 9.538239e-06, 2.5941967e-05, 1.10007995e-05]","[2.47642e-06, 2.1808298e-06, 1.825754e-05, 2.26146e-06]","[2.45959e-06, 2.13726e-06, 1.8084542e-05, 2.1791398e-06]"
sat_op_28_119_84304.cnf,"[7.920399980321235e-06, 1.3075599986223096e-05, 3.018240001892991e-05, 8.117100014715106e-06]","[4.7406418e-05, 2.5825962e-05, 7.1848495e-05, 1.701507e-05]","[8.22725e-06, 9.148211e-06, 2.5661831e-05, 8.830611e-06]","[8.37054e-06, 8.736e-06, 2.781775e-05, 8.09727e-06]","[3.41581e-06, 4.0083496e-06, 2.496365e-05, 4.6735995e-06]","[3.30088e-06, 4.2122297e-06, 2.575152e-05, 4.6060004e-06]"
unsat_cliquecoloring_36_176.cnf,"[3.19606999937605e-05, 2.4784500033092628e-05, 0.00016955439996308997, 2.6226600016343583e-05]","[5.858669e-05, 3.2233507e-05, 6.0359936e-05, 1.9343488e-05]","[2.43684e-06, 2.08881e-06, 1.4209019e-05, 2.1301298e-06]","[9.03084e-06, 9.6597305e-06, 2.8333361e-05, 1.0613239e-05]","[2.43445e-06, 2.28395e-06, 1.839967e-05, 2.25141e-06]","[3.4215896e-06, 4.71907e-06, 2.4539808e-05, 5.2781297e-06]"
sat_subsetcard_12_36_64659.cnf,"[6.494399985967902e-06, 7.183000002441986e-06, 2.2754799942958925e-05, 5.127000054017117e-06]","[8.0162e-06, 1.2586861e-05, 3.1476742e-05, 1.2363591e-05]","[4.32832e-06, 7.6013303e-06, 2.4339413e-05, 5.8211504e-06]","[4.6561204e-06, 7.43017e-06, 2.267254e-05, 5.04263e-06]","[2.77981e-06, 2.97135e-06, 1.854125e-05, 3.05789e-06]","[2.87632e-06, 3.00493e-06, 1.8377457e-05, 2.91767e-06]"
unsat_tseitin_30_568_54824.cnf,"[0.919482965799989, 1.2291363616999889, 3.675357243999997, 1.129044386600026]","[0.00022858079, 0.00020660469, 0.00045948452, 0.00024068002]","[3.4581994e-05, 3.354993e-05, 6.3717154e-05, 2.347267e-05]","[7.193879e-05, 5.015007e-05, 0.00021179728, 4.565084e-05]","[4.51004e-06, 8.637218e-06, 3.3412558e-05, 8.00988e-06]","[4.5502798e-06, 8.086829e-06, 3.2788932e-05, 7.39007e-06]"
unsat_cliquecoloring_54_673.cnf,"[0.0001928792001308466, 0.00014578189989151725, 0.0007687721999445785, 0.0001445939999939583]","[0.00022141212, 0.00012405461, 0.00022013726, 5.853181e-05]","[2.5512097e-06, 2.2182699e-06, 1.482188e-05, 2.2035904e-06]","[9.51947e-06, 1.54596e-05, 3.0181309e-05, 2.0600532e-05]","[2.6006196e-06, 2.4558399e-06, 1.96136e-05, 2.35986e-06]","[2.6685702e-06, 2.40234e-06, 1.94485e-05, 2.4245999e-06]"
unsat_matching_80_365_47440.cnf,"[0.011120587300047191, 0.010597450300019772, 0.04588083220000953, 0.009639772200034712]","[9.924859e-05, 5.1833915e-05, 0.00011022286, 2.724917e-05]","[2.39877e-06, 2.09244e-06, 1.542493e-05, 2.091e-06]","[7.3727197e-06, 1.1716071e-05, 2.8583201e-05, 2.1876822e-05]","[2.4749402e-06, 2.2741e-06, 1.9410701e-05, 2.2856798e-06]","[2.46187e-06, 2.35981e-06, 1.88827e-05, 2.2342601e-06]"
unsat_tseitin_30_452_52851.cnf,"[2.339862392199939, 4.72902714640004, 8.83663703039997, 2.2072956799999703]","[0.00028168884, 0.00015748381, 0.00037561217, 0.00017990448]","[2.295112e-05, 2.684519e-05, 5.8398815e-05, 1.919133e-05]","[7.750583e-05, 4.56329e-05, 0.00014237541, 4.5958182e-05]","[4.09869e-06, 7.36808e-06, 3.2275646e-05, 6.8536597e-06]","[4.1880703e-06, 7.1903996e-06, 3.218293e-05, 7.12755e-06]"
sat_3clique_24_255_7737.cnf,"[7.113100082278834e-06, 1.9758999997065985e-05, 0.00013778310003544902, 1.1369299909347318e-05]","[6.575794e-05, 3.5318702e-05, 9.652094e-05, 2.2070999e-05]","[2.3246998e-06, 1.97034e-06, 1.3130069e-05, 1.99637e-06]","[6.790159e-06, 9.521269e-06, 2.315277e-05, 1.522198e-05]","[3.15222e-06, 4.49613e-06, 2.46115e-05, 5.1435604e-06]","[2.405e-06, 2.1986e-06, 1.867276e-05, 2.20169e-06]"
